payeeName,count,sum_amount
ARKANSAS FOR LEADERSHIP PAC ARKPAC,1,"3,000.00"
"BYRNE FOR SENATE, INC.",1,"3,000.00"
McConnell Victory fund,1,"3,000.00"
Victory for New York Fund,1,"3,000.00"
Jennifer Wexton for Congress,12,"2,975.00"
Sharice Davids for Congress,10,"2,921.36"
Rob Portman for Senate,4,"2,900.00"
Friends of Jeanne Shaheen,2,"2,850.00"
Dan Feehan for Congress,2,"2,825.00"
Kamala Harris for President,2,"2,825.00"
Friends of Pat Toomey ,4,"2,800.00"
Candace Valenzuela for Congress,2,"2,800.00"
Jesse Mermell,2,"2,800.00"
Cheney for Congress,2,"2,800.00"
TRENT KELLY FOR CONGRESS,1,"2,800.00"
Biden for President Inc.,1,"2,800.00"
Phil Arballo for Congress,1,"2,800.00"
Sri Kulkarni for Congress,1,"2,800.00"
Teresa Leger Fernandez for Congress,1,"2,800.00"
Trump Victory JFC,1,"2,800.00"
CHURCH FOR WISCONSIN,1,"2,800.00"
Defense America PAC,1,"2,800.00"
Congressman Dan Meuser,1,"2,800.00"
Gina Ortiz Jones for Congress ,1,"2,800.00"
Tomlinson for Senate ,1,"2,800.00"
Alaska for Sullivan,1,"2,800.00"
Joe Kennedy,1,"2,800.00"
Cliff Bentz for Congress,1,"2,800.00"
Mario Diaz-Balart,1,"2,800.00"
Randy Henderson for Congress,1,"2,800.00"
Chris Bell for Senate,1,"2,800.00"
Ed Markey ,1,"2,800.00"
MATT LIEBERMAN FOR SENATE (FEC ID: C00721480),1,"2,800.00"
Deval For All,1,"2,800.00"
Joe Kennedy for US Senate,1,"2,800.00"
ACTBLUE*JOEBIDEN,1,"2,800.00"
Kelly Mitchell,1,"2,800.00"
Judicial Integrity PAC,1,"2,800.00"
"Gardner, Cory (R)",1,"2,800.00"
Michelle Steele for Congress,1,"2,800.00"
Saafir for Congress,1,"2,800.00"
Cunningham for U.S. Senate,1,"2,800.00"
McConnell Victory ,1,"2,800.00"
Collins Victory,1,"2,800.00"
Sean for US,1,"2,800.00"
Ann Wagner for Congress (R-MO),1,"2,800.00"
"Josh Harder for Congress PO Box 4426, Modesto, CA 95352",1,"2,800.00"
"GARAMENDI FOR CONGRESS P.O. BOX 440, WALNUT GROVE, CA 95690",1,"2,800.00"
Kay Granger for congress,1,"2,800.00"
Matt Lieberman for Senate Exploratory Committee,1,"2,800.00"
Hiral for Congress (earmarked contribution),1,"2,800.00"
Jeanne Shaheen,7,"2,775.00"
Jackie Walorski for Congress,6,"2,750.00"
Deb Fischer for Senate,5,"2,750.00"
Brett Guthrie for Congress,5,"2,750.00"
Chabot for Congress,5,"2,750.00"
Cedric Richmond for Congress,5,"2,750.00"
Casey Keystone Victory Fund,4,"2,750.00"
Cuellar for Congress,4,"2,750.00"
Kelly Armstrong for Congress,4,"2,750.00"
Steve Womack for Congress,3,"2,750.00"
True North Pac,3,"2,750.00"
Leahy for U.S. Senator Committee,3,"2,750.00"
Rodney for Congress ,3,"2,750.00"
Lance Gooden For Congress,2,"2,750.00"
Tom OHalleran for Congress,2,"2,750.00"
Chris Van Hollen for Senate,2,"2,750.00"
Donate to Dems,2,"2,750.00"
Elaine Luria for Congress,7,"2,738.00"
Jeff Van Drew,6,"2,725.00"
Rita Hart for Congress,7,"2,700.00"
Donna Shalala For Congress,3,"2,700.00"
Steve Scalise for Congress,1,"2,700.00"
Arkansas for Leadership PAC (ARKPAC),1,"2,700.00"
Londrigan for Congress,1,"2,700.00"
Mary Miller for Congress,1,"2,700.00"
Michael Michot,1,"2,700.00"
Craig for Congress,5,"2,619.00"
Higgins For Congress,7,"2,600.00"
Pete King for Congress,4,"2,600.00"
Texans for Senator John Cornyn ,2,"2,600.00"
AALU PAC,2,"2,600.00"
Scalise for Congress ,2,"2,600.00"
Dane Eagle Campaign,1,"2,600.00"
Vaquero PAC,2,"2,594.00"
Ed Perlmutter for Congress,3,"2,550.00"
Ilhan Omar,2,"2,550.00"
Committee to Elect Tedra Cobb,2,"2,550.00"
Raja Krishnamoorthi,3,"2,525.00"
Ford Motor Company Civic Action Fund,6,"2,500.02"
Zachary Pfister,6,"2,500.00"
Oz Vazquez for Congress,5,"2,500.00"
Re-Elect McGovern for Congress,5,"2,500.00"
Collin Allred for Congress,5,"2,500.00"
Raja for Congress,5,"2,500.00"
Friends of Mike Lee Inc,5,"2,500.00"
Port PAC,4,"2,500.00"
Steve Knight for Congress,4,"2,500.00"
Buschon for Congress,4,"2,500.00"
Meeks Victory Fund,4,"2,500.00"
Steve Watkins for US Congress,4,"2,500.00"
Perdue for Senate ,4,"2,500.00"
Lummis for Wyoming,4,"2,500.00"
Shalala for Congress,4,"2,500.00"
Suzanne Bonamici for Congress,4,"2,500.00"
"Donald J. Trump for President, Inc.",4,"2,500.00"
Troy Lyons,4,"2,500.00"
Michael P. Ralsky,3,"2,500.00"
Stephanie Murphy for Congress ,3,"2,500.00"
Kuster for Congress ,3,"2,500.00"
Nanette Barragan for Congress,3,"2,500.00"
Leahy for Vermont,3,"2,500.00"
Alcee Hastings for Congress,3,"2,500.00"
Larson for Congress ,3,"2,500.00"
"Walorski for Congress, Inc.",3,"2,500.00"
KENNEDY FOR MASSACHUSETTS,3,"2,500.00"
The Thom Tillis Committee ,3,"2,500.00"
Pat Toomey for Senate,3,"2,500.00"
John Hickenlooper for Senate,3,"2,500.00"
Frank Pallone for Congress,3,"2,500.00"
Collins Victory Committee,3,"2,500.00"
Cheney for Wyoming,3,"2,500.00"
Pappas for Congress,3,"2,500.00"
Engel For Congress,3,"2,500.00"
Schrader for Congress,3,"2,500.00"
Mark Walker for Congress,3,"2,500.00"
Stacey Plaskett,3,"2,500.00"
Thom Tillis,3,"2,500.00"
Peter Welch,3,"2,500.00"
Liz Cheney for Congress,3,"2,500.00"
Richie Neal for Congress,3,"2,500.00"
Mann for Congress,3,"2,500.00"
Tammy Baldwin For Senate,3,"2,500.00"
Katie Porter For Congress,3,"2,500.00"
Logfren for Congress,3,"2,500.00"
Rounds for Senate ,2,"2,500.00"
Scott Tipton for Congress,2,"2,500.00"
Hoyer Majority Fund ,2,"2,500.00"
Trey Hollingsworth for Congress,2,"2,500.00"
McEachin For Congress,2,"2,500.00"
Perlmutter for Colorado,2,"2,500.00"
Houlahan for Congress ,2,"2,500.00"
Lujan for Senate,2,"2,500.00"
KIRKPATRICK FOR ARIZONA,2,"2,500.00"
Moran Victory Fund,2,"2,500.00"
Cmte to Re-elect Nydia M. Velazquez to Congress,2,"2,500.00"
Latta for Congress ,2,"2,500.00"
John Garamendi,2,"2,500.00"
Derek Kilmer,2,"2,500.00"
Al Lawson,2,"2,500.00"
Edward Markey,2,"2,500.00"
Committee to Re-Elect Nydia Velazquez to Congress,2,"2,500.00"
Tom Graves,2,"2,500.00"
Barragan For Congress,2,"2,500.00"
Ron Johnson For Senate Inc.,2,"2,500.00"
Rep. Filemom Vela ,2,"2,500.00"
PELOSI FOR CONGRESS,2,"2,500.00"
Patrick McHenry for Congress,2,"2,500.00"
"Drew Ferguson for Congress, Inc.",2,"2,500.00"
Crapo Victory Committee ,2,"2,500.00"
ShowMe Political Action Committee,2,"2,500.00"
Defending American Values Everywhere PAC (Dave PAC,2,"2,500.00"
GSD PAC,2,"2,500.00"
Vern Buchanan for Congress ,2,"2,500.00"
SPANBERGER FOR CONGRESS,2,"2,500.00"
Jim Clyburn for U.S. Congress,2,"2,500.00"
TOM O'HALLERAN FOR CONGRESS,2,"2,500.00"
GERRY CONNOLLY FOR CONGRESS,2,"2,500.00"
Marc Veasey Congressional Campaign,2,"2,500.00"
Crapo For Senate,2,"2,500.00"
Friends of Michael Guest ,2,"2,500.00"
Fightin' Ninth PAC,1,"2,500.00"
Friends of Dick Durbin Committee ,1,"2,500.00"
Steve Scalise Leadership Fund,1,"2,500.00"
Vern PAC,1,"2,500.00"
TAMMY FOR ILLINOIS,1,"2,500.00"
TJ COX FOR CONGRESS,1,"2,500.00"
FRIENDS OF TAMMY DUCKWORTH,1,"2,500.00"
Moran for Kansas ,1,"2,500.00"
Dave Schweikert for Congress,1,"2,500.00"
ActBlue/Friends of Schumer,1,"2,500.00"
Reaching for Brighter America PAC (RBA PAC),1,"2,500.00"
Jacky Rosen for U.S. Senate,1,"2,500.00"
MBE PAC,1,"2,500.00"
Sires For Congress,1,"2,500.00"
LGBTQ Victory Fund Super PAC,1,"2,500.00"
Educate and Innovate PAC,1,"2,500.00"
Citizens to Election Rick Larsen,1,"2,500.00"
Together Holding Our Majority,1,"2,500.00"
"McSally For Senate, Inc",1,"2,500.00"
IMPACTPAC,1,"2,500.00"
Jim Clyburn Rudolph Canzater Memorial Classic,1,"2,500.00"
Roger Williams For US Congress,1,"2,500.00"
Josh Grottheimer For Congress,1,"2,500.00"
Al Lawson for congress,1,"2,500.00"
Albio Sires for Congress ,1,"2,500.00"
Andy Kim for congress,1,"2,500.00"
Anthony Brindisi for congress,1,"2,500.00"
Anthony Brown for congress,1,"2,500.00"
Barbara bollier for senate,1,"2,500.00"
ben ray lujan for congress,1,"2,500.00"
brad Schneider for congress,1,"2,500.00"
brad Sherman for congress,1,"2,500.00"
Carolyn bourdeaux for congress,1,"2,500.00"
cleanpac,1,"2,500.00"
committee for a livable future,1,"2,500.00"
danny davis for congress,1,"2,500.00"
DBM pac,1,"2,500.00"
Debbie Dingell for congress,1,"2,500.00"
Donald Norcross for congress,1,"2,500.00"
ed case for congress,1,"2,500.00"
eliot Engel for congress,1,"2,500.00"
elissa slotkin for congress,1,"2,500.00"
fair shot pac,1,"2,500.00"
frank Pallone for congress,1,"2,500.00"
Frederica Wilson for congress,1,"2,500.00"
gary peters for congress,1,"2,500.00"
gina Ortiz jones for congress,1,"2,500.00"
greg meeks for congress,1,"2,500.00"
greg stanton for congress,1,"2,500.00"
gregorio killi Camacho Sablan for congress,1,"2,500.00"
hakeem Jeffries for congress,1,"2,500.00"
hiral tipirneni for congress,1,"2,500.00"
James Clyburn for congress,1,"2,500.00"
Jamie raskin for congress,1,"2,500.00"
jan Schakowsky for congress,1,"2,500.00"
jim langevin for congress,1,"2,500.00"
joaquin castro for congress,1,"2,500.00"
joe morelle for congress,1,"2,500.00"
john Yarmuth for congress,1,"2,500.00"
josh gottheimer for congress,1,"2,500.00"
juan vargas for congress,1,"2,500.00"
Julia pac,1,"2,500.00"
lois frankel for congress,1,"2,500.00"
Lucille Roybal allard for congress,1,"2,500.00"
matt cartwright for congress,1,"2,500.00"
mike Levin for congress,1,"2,500.00"
Nanette Barragan for congress,1,"2,500.00"
new voice PAC,1,"2,500.00"
norma torres for congress,1,"2,500.00"
prairie pac,1,"2,500.00"
Raja PAC,1,"2,500.00"
rita hart for congress,1,"2,500.00"
rosa DeLauro for congress,1,"2,500.00"
sara Gideon for senate,1,"2,500.00"
smart solutions pac,1,"2,500.00"
stacey plaskett for congress,1,"2,500.00"
Suzanne bonamici for congress,1,"2,500.00"
Sylvia garica for congress,1,"2,500.00"
vincente gonzalez for congress,1,"2,500.00"
Yvette Clarke for congress,1,"2,500.00"
"Congressional Black Caucus PAC, Cherie Wilson serves on the PAC Board",1,"2,500.00"
The Fund for American Studies-Annual Scholarship Dinner,1,"2,500.00"
VICTORY BY INVESTING BUILDING AND EMPOWERING VIBE PAC,1,"2,500.00"
GENERATION GO,1,"2,500.00"
Continuing Americas Strength and Security PAC  CASS PAC,1,"2,500.00"
"Sanford D. Bishop, Jr. for Congress",1,"2,500.00"
AMERI PAC,1,"2,500.00"
Greg Hill for Congress,1,"2,500.00"
LATINO VICTORY FUND,1,"2,500.00"
Rouzer for congress. ,1,"2,500.00"
"Texas State Society of Washington, DC",1,"2,500.00"
JULIA PAC,1,"2,500.00"
Joe Kennedy for Senate,1,"2,500.00"
21St Century Majority Fund,1,"2,500.00"
GA PAC,1,"2,500.00"
Bill Long for Congress,1,"2,500.00"
BUCK FOR COLORADO,1,"2,500.00"
Giving Willingly Empowering Nationally GWEN PAC,1,"2,500.00"
KANSAS LEADERSHIP PAC,1,"2,500.00"
Rely on Your Beliefs ROYB Fund,1,"2,500.00"
Heartland Values Pac,1,"2,500.00"
INNOVATION POLITICAL ACTION COMMITTEE,1,"2,500.00"
Asian Americans & Pacific Islanders Rising & Empowering PAC,1,"2,500.00"
North Dakota Democratic Nonpartisan League Party,1,"2,500.00"
New Dem Action Fund,1,"2,500.00"
Rick Larsen,1,"2,500.00"
Courtney  for Congress,1,"2,500.00"
Brian Fitpatrick for Congress,1,"2,500.00"
Chris Pappas for Congress ,1,"2,500.00"
"Kean for Congress, Inc.",1,"2,500.00"
Mckinley for Congress,1,"2,500.00"
DeWine Husted for Ohio,1,"2,500.00"
Washington State Democratic Party--Fed Account,1,"2,500.00"
Bringing Everyone Together Through Advocacy,1,"2,500.00"
Filemon Vela for congress,1,"2,500.00"
Mike Desaulnier for Congress,1,"2,500.00"
Alan Lowenthall for Congress,1,"2,500.00"
Equality PAC ,1,"2,500.00"
Victory by Investing Building and Empowering PAC,1,"2,500.00"
Chuck Fleischmann for Congress Committee,1,"2,500.00"
Team Mitt,1,"2,500.00"
FRIENDS OF JEANNE SHAHEEN,1,"2,500.00"
TOMORROW IS MEANINGFUL PAC,1,"2,500.00"
JIM 2020 COMMITTEE,1,"2,500.00"
Joint Together PAC,1,"2,500.00"
The Honorable Amy McGrath ,1,"2,500.00"
MAD 4 PAC,1,"2,500.00"
Payne for Congress,1,"2,500.00"
Vincente Gonzales for Congress,1,"2,500.00"
Heck for Congress,1,"2,500.00"
Rep. Abraham For Congress,1,"2,500.00"
Majority PAC,1,"2,500.00"
Limitless Horizons,1,"2,500.00"
Randy Feenstra for Congress,1,"2,500.00"
RVF PAC,1,"2,500.00"
FRIENDS OF DICK DURBIN CMTE,1,"2,500.00"
ALAMEDA COUNTY DEMOC CENTRAL CMTE - FED ACCOUNT,1,"2,500.00"
CICILLINE CMTE,1,"2,500.00"
MARC VEASEY FOR CONGRESSIONAL CAMPAIGN CMTE,1,"2,500.00"
Hawaii Senate Victory ,1,"2,500.00"
RandPAC,1,"2,500.00"
Developing A New Generation (DANG PAC),1,"2,500.00"
New Economy PAC ,1,"2,500.00"
"Andy Barr For Congress, Inc. ",1,"2,500.00"
Pac To The Future ,1,"2,500.00"
Building America's Republican Representative PAC,1,"2,500.00"
Blaine PAC,1,"2,500.00"
Pelosi For Congress Committee,1,"2,500.00"
Suozzi For Congress ,1,"2,500.00"
Mikie Sherrill For Congress ,1,"2,500.00"
HECK PAC,1,"2,500.00"
Bulldog PAC ,1,"2,500.00"
Lisa Murkowski For US Senate ,1,"2,500.00"
The Upper Hand Fund ,1,"2,500.00"
Keeping America Rolling PAC ,1,"2,500.00"
Tim Scott For Senate ,1,"2,500.00"
Tomorrow Is Meaningful (TIM PAC),1,"2,500.00"
Friends Of Susan Brooks ,1,"2,500.00"
Lisa Blunt Rochester For Congress ,1,"2,500.00"
Cooper For Congress ,1,"2,500.00"
Ron Johnson For Senate Inc. ,1,"2,500.00"
"Ben Sasse For U.S. Senate, Inc.",1,"2,500.00"
Devin Nunes For Congress,1,"2,500.00"
Bob Casey For Senate Inc. ,1,"2,500.00"
Klobuchar For Minnesota ,1,"2,500.00"
Martha Roby For Congress,1,"2,500.00"
The Bill Keating Committee ,1,"2,500.00"
Friends Of Don Beyer ,1,"2,500.00"
"Handel For Congress, Inc.",1,"2,500.00"
Rob Bishop For Congress,1,"2,500.00"
Follow The North Star Fund ,1,"2,500.00"
Loebsack For Congress,1,"2,500.00"
Jeffries For Congress ,1,"2,500.00"
Texans For Henry Cuellar Congressional Campaign ,1,"2,500.00"
Friends Of Dan Kildee ,1,"2,500.00"
People For Derek Kilmer ,1,"2,500.00"
Bridge The GAP PAC,1,"2,500.00"
Peters Victory Fund,1,"2,500.00"
Inhofe Victory Committee,1,"2,500.00"
Steve Chabot for Congress ,1,"2,500.00"
The New Democrat Coalition PAC (NewDem PAC),1,"2,500.00"
PRAIRIE PAC,1,"2,500.00"
EYE OF THE TIGER PAC,1,"2,500.00"
BETTYPAC,1,"2,500.00"
EUREKA PAC,1,"2,500.00"
FIRST IN FREEDOM PAC,1,"2,500.00"
FRIENDS OF MATT GAETZ,1,"2,500.00"
Jim Risch for U.S. Senate Committee ,1,"2,500.00"
Making A Responsible Stand For Households In America PAC (MARSHA PAC),1,"2,500.00"
Leadership And Accountability Are National Keys PAC (Lank PAC),1,"2,500.00"
MAKE IT WORK PAC,1,"2,500.00"
Deb Fischer for U.S. Senate Inc,1,"2,500.00"
Colin Allred For Congress,1,"2,500.00"
Buddy Carter for Congress -- poss. Buddy PAC,1,"2,500.00"
Cody LUsk,1,"2,500.00"
McGuire for Virginia ,1,"2,500.00"
Ken Paxton Campaign,1,"2,500.00"
Team Morrisey,1,"2,500.00"
Jim Lower for Congress,1,"2,500.00"
Sullivan for US Senate,1,"2,500.00"
Fulcher for Idaho,1,"2,500.00"
Gerry Connolly For Congress,1,"2,500.00"
Alma Adams,1,"2,500.00"
Barbara Bollier,1,"2,500.00"
Carolyn Bourdeaux ,1,"2,500.00"
James Clyburn,1,"2,500.00"
Lou Correa,1,"2,500.00"
Joe Courtney,1,"2,500.00"
Danny Davis,1,"2,500.00"
Debbie Dingell ,1,"2,500.00"
Theresa Greenfield,1,"2,500.00"
Jamie Harrison,1,"2,500.00"
Rita Hart,1,"2,500.00"
Eddie Bernice Johnson,1,"2,500.00"
John Joyce,1,"2,500.00"
Derek Kilmer ,1,"2,500.00"
Ann McLane Kuster,1,"2,500.00"
Jerry McNerney,1,"2,500.00"
David Price,1,"2,500.00"
Mara Reardon-Candaleria,1,"2,500.00"
Jack Reed ,1,"2,500.00"
Tim Ryan ,1,"2,500.00"
David Scott,1,"2,500.00"
Vance Snider,1,"2,500.00"
Vaquero Pac,1,"2,500.00"
September Celebration of Champions,1,"2,500.00"
New Democratic Coalition Action Fund,1,"2,500.00"
Jeff Fortenberry for US Congress,1,"2,500.00"
NEBRASKA REPUBLICAN PARTY Fed Acct,1,"2,500.00"
Mainstream PAC,1,"2,500.00"
MAP PAC,1,"2,500.00"
VINE PAC,1,"2,500.00"
KENTUCKY HOSPITAL ASSOCIATION CIRCLE OF FRIENDS,1,"2,500.00"
HAPAC-FEDERAL,1,"2,500.00"
Theresa Greenfield for Congress,1,"2,500.00"
Shannon Hutcheson for Congress,1,"2,500.00"
People for Kilmer,1,"2,500.00"
TODD YOUNG FOR SENATE,1,"2,500.00"
American Opportunity Fund,1,"2,500.00"
AX PAC,1,"2,500.00"
Reinventing a New Direction Political Action Committee,1,"2,500.00"
United States Nuclear Industry Council,1,"2,500.00"
Citizens for Mike Turner,1,"2,500.00"
Rounds for Sentate,1,"2,500.00"
Stabenow for US Senate ,1,"2,500.00"
Conservative Opportunities for a New America PAC ,1,"2,500.00"
TED CRUZ VICTORY COMMITTEE,1,"2,500.00"
GOLDEN RULE PAC,1,"2,500.00"
Hoosiers First PAC,1,"2,500.00"
Having Unwavering Resolve and Determination PAC,1,"2,500.00"
Reclaim American PAC,1,"2,500.00"
Russ Fulcher for Idaho (R-ID),1,"2,500.00"
Middle Class America PAC,1,"2,500.00"
"Nadler for congress, Inc.",1,"2,500.00"
Truth is Markets Work Fund aka TIM W Fund,1,"2,500.00"
The Liberty Fund,1,"2,500.00"
Value in Electing Women PAC,1,"2,500.00"
Friends of Jay Edwards,1,"2,500.00"
Friends of Jon Cross,1,"2,500.00"
Building Together PAC,1,"2,500.00"
Doug Burgum for North Dakota,1,"2,500.00"
SHARICE DAVIDS FOR CONGRESS,1,"2,500.00"
CHRIS PAPPAS FOR CONGRESS (FEC ID: C00660464),1,"2,500.00"
COLIN ALLRED FOR CONGRESS (FEC ID: C00637868),1,"2,500.00"
US Chamber of Commerce PAC,1,"2,500.00"
New Pioneer PAC,1,"2,500.00"
Tillis for Senate ,1,"2,500.00"
Peter Aguilar for Congress,1,"2,500.00"
Moran Victory Committee; Broadmoor 2019,1,"2,500.00"
All For Our Country PAC,1,"2,500.00"
HOPE PAC,1,"2,500.00"
"Kean for Congress, Inc",1,"2,500.00"
Building Renewal in America Now PAC,1,"2,500.00"
Deliver Excel Believe PAC,1,"2,500.00"
"Banks, James / Incumbent / U.S. House / (R-IN-03)",1,"2,500.00"
"Biggs, Andy / Incumbent / U.S. House / (R-AZ-06)",1,"2,500.00"
National Restaurant Association PAC,1,"2,500.00"
Stephen F. Lynch for Congress,1,"2,500.00"
Serving Our Country (SOC) PAC,1,"2,500.00"
COMER-KY PAC,1,"2,500.00"
Together We Rise,1,"2,500.00"
Gibbs for congress,1,"2,500.00"
rodney for congress,1,"2,500.00"
Alaskans or Don Young,1,"2,500.00"
Off the Sidelines PAC,1,"2,500.00"
"""""""Together We Rise""""""",1,"2,500.00"
Blue Power PAC,1,"2,500.00"
Belief in Life and Liberty PAC (BILL'S PAC),1,"2,500.00"
Gene Green Congressional Campaign,1,"2,500.00"
Judy Chu For Congress,1,"2,500.00"
"Drew Ferguson For Congress, Inc.",1,"2,500.00"
Maloney For Congress,1,"2,500.00"
McConnell for Majority Leader ,1,"2,500.00"
Friends of James Clyburn,1,"2,500.00"
"David Rouzer for Congress,",1,"2,500.00"
CNG-FL-MurphyS,1,"2,500.00"
CNG-MD-HOYERS,1,"2,500.00"
Jacobs for Congress ,1,"2,500.00"
CMR Political Action Committee,1,"2,500.00"
RFWPAC - Responsibility and Freedom Work PAC,1,"2,500.00"
Promoting our Republican Team,1,"2,500.00"
Catherine Cortez Masto for Seante,1,"2,500.00"
All Hands PAC,1,"2,500.00"
Sen. Cory Gardner (R-CO),1,"2,500.00"
Sen. Johnny Isakson (R-GA),1,"2,500.00"
Rep. Blaine Luetkemeyer (R-MO),1,"2,500.00"
Rep. Joe Wilson (R-SC),1,"2,500.00"
Sen. Deb Fischer (R-NE),1,"2,500.00"
Rep. Debbie Dingell (D-MI),1,"2,500.00"
Steil for Wisconsin Inc.,1,"2,500.00"
Peter Damon Group LLC,1,"2,500.00"
Chic Productions LLC,1,"2,500.00"
NEW ECONOMY PAC,1,"2,500.00"
American Defense and Military PAC (ADAM PAC),1,"2,500.00"
Beleive in America PAC,1,"2,500.00"
Lead Encourage Elect PAC LEE PAC,1,"2,500.00"
Leadership for Today Tomorrow and Always PAC LATTA PAC,1,"2,500.00"
Mario DiazBalart for Congress,1,"2,500.00"
Mr Southern Missourian in the House PAC,1,"2,500.00"
Sam Graves For Congress,1,"2,500.00"
Support to Ensure Victory Everywhere PAC STEVE PAC,1,"2,500.00"
"Friends of Chris Stewart, Inc",1,"2,500.00"
Conservative & Republican Together Equals Results PAC,1,"2,500.00"
Making Americans Count PAC (Mac PAC),1,"2,500.00"
Conservative Opportunity Leadership And Enterprise PAC (Cole PAC),1,"2,500.00"
America 2.0 PAC,1,"2,500.00"
Fund For the Majority,1,"2,500.00"
Defending American Values Everywhere (DAVE) PAC,1,"2,500.00"
Fund For America's Future,1,"2,500.00"
"Together United for Liberty, Integrity and Prosperity PAC (Tulip PAC)",1,"2,500.00"
DANIEL WEBSTER FOR CONGRESS,1,"2,500.00"
KEAN FOR CONGRESS INC,1,"2,500.00"
Accountability PAC,1,"2,500.00"
Blaine for Congres,1,"2,500.00"
"Byrne for Senate, Inc. ",1,"2,500.00"
Re-elect McGovern for Committee,1,"2,500.00"
Re-Elect McGovern Committee ,1,"2,500.00"
Committee To Re-Elect Nydia M. Velazquez to Congress,1,"2,500.00"
"Friends of Denver Riggleman, Inc. ",1,"2,500.00"
Believe In America PAC,1,"2,500.00"
Clay Jr. for Congress ,1,"2,500.00"
Accountability PAC ,1,"2,500.00"
Continuing America's Strength And Security PAC ,1,"2,500.00"
Victory In November Election PAC (VINEPAC),1,"2,500.00"
Texans for Henry Cuellar Congressional Committee Campaign ,1,"2,500.00"
Clean PAC,1,"2,500.00"
"Jobs, Education, & Families First - Jeff PAC",1,"2,500.00"
Clarke for Congress ,1,"2,500.00"
McConnell for Congress ,1,"2,500.00"
Virginia Foxx for Congress ,1,"2,500.00"
Jeanne Shaheen for Senate Cmte,1,"2,500.00"
John Bel Edwards for Governor Campaign,1,"2,500.00"
Victory for Louisiana,1,"2,500.00"
Xochiti for New Mexico,1,"2,500.00"
Ted Deutch Campaign Committee,1,"2,500.00"
Vance Snider for Congress,1,"2,500.00"
WSN - Women's Senate Network (DSCC),1,"2,500.00"
Tom OHalleran For Congress,1,"2,500.00"
American Free International Trade PAC,1,"2,500.00"
Schiff Hold The House 2020,1,"2,500.00"
AXPAC,1,"2,500.00"
Friends Of Ben Mcadams,1,"2,500.00"
Democratic Party of Wisconsin,1,"2,500.00"
Blue Momentum PAC,1,"2,500.00"
Reed Victory Committee,1,"2,500.00"
Brian Schatz for US Senate,1,"2,500.00"
Reclaim America PAC (R),1,"2,500.00"
Hon.  John Thune,1,"2,500.00"
AMANDA ADKINS FOR CONGRESS,1,"2,500.00"
LINDSTROM FOR SENATE,1,"2,500.00"
Leadership for America Today Tomorrow (LATTA PAC),1,"2,500.00"
Washington State Democratic Central Cmte,1,"2,500.00"
CHESAPEAKE PAC,1,"2,500.00"
Elizabeth Fletcher for Congress,1,"2,500.00"
Tom Cotton for Senate ,1,"2,500.00"
Tom Malinowski for Congress ,1,"2,500.00"
Schatz for Senate ,1,"2,500.00"
Van Hollen for Senate ,1,"2,500.00"
Georgians for Kelly Loeffler ,1,"2,500.00"
Todos con Jenniffer Inc. DBA Jenniffer for Congress,1,"2,500.00"
ABRAHAM LINCOLN POLITICAL ACTION COMMITTEETHE,1,"2,500.00"
SHELBY FOR U S SENATE,1,"2,500.00"
Massachusetts Democratic State Comittee,1,"2,500.00"
Louisiana Democratic Party,1,"2,500.00"
Catalina for Congress Committee,1,"2,500.00"
Collins for Texas ,1,"2,500.00"
Judson Sapp for Congress,1,"2,500.00"
Omari Faulkner for Virginia,1,"2,500.00"
Lancaster Count Republican Committee of Pennsylvania,1,"2,500.00"
Jeffrey M. Landry,1,"2,500.00"
Randy Weber,1,"2,500.00"
ActBlue Doug Jones,1,"2,500.00"
McSally for Senate Inc. ,1,"2,500.00"
Kustoff for Congres,1,"2,500.00"
 Friends of Roy Blunt,1,"2,500.00"
Friend of Chuck Schumer,1,"2,500.00"
Inhofe for U.S. Senate,1,"2,500.00"
Shaheen For Senate ,1,"2,500.00"
"Friends For Chris Stewart, Inc. ",1,"2,500.00"
Across The Aisle PAC,1,"2,500.00"
DIANA DEGETTE FOR CONGRESS INC,1,"2,500.00"
ESPAILLAT FOR CONGRESS 2018,1,"2,500.00"
DENALI LEADERSHIP PAC,1,"2,500.00"
THE COMMITTEE TO ELECT AYANNA PRESSLEY,1,"2,500.00"
HOLDING ONTO OREGONS PRIORITIES,1,"2,500.00"
LUCAS FOR CONGRESS,1,"2,500.00"
BUTTERFIELD FOR CONGRESS COMMITTEE,1,"2,500.00"
SANFORD D BISHOP JR FOR CONGRESS,1,"2,500.00"
TED DEUTCH FOR CONGRESS COMMITTEE,1,"2,500.00"
MEADOWS FOR CONGRESS,1,"2,500.00"
COUNTRY ROADS PAC,1,"2,500.00"
HIGGINS FOR CONGRESS,1,"2,500.00"
BONNIE WATSON COLEMAN FOR CONGRESS,1,"2,500.00"
STEPHEN F LYNCH FOR CONGRESS COMMITTEE,1,"2,500.00"
Kentucky State Republican Party,1,"2,500.00"
AGSHF Civic Action Committee,1,"2,500.00"
Buddy PAC ,1,"2,500.00"
"Peters, Gary",1,"2,500.00"
"Schumer, Charles",1,"2,500.00"
"McCarthy, Kevin",1,"2,500.00"
"Miller, Carol",1,"2,500.00"
Peterson for Congress ,1,"2,500.00"
"Todos con Jenniffer, Inc. (Jenniffer for Congress)",1,"2,500.00"
Scalise Leadership Fund ,1,"2,500.00"
"Friends of Todd Young, Inc. ",1,"2,500.00"
