name,count,sum_amount
Intellectual Property Owners Political Action Fund,2,"1,250.00"
Honeywell International,1,"1,250.00"
U.S. Chamber PAC,26,"1,230.32"
STERIS Employee PAC,1,"1,200.00"
Truist Financial Corp PAC (formerly BB&T),1,"1,200.00"
BB&T PAC,1,"1,200.00"
MARSHA PAC,1,"1,200.00"
DSCC,4,"1,198.98"
"Oracle America, Inc. Political Action Committee (Oracle PAC)",3,"1,180.00"
balderson for congress,3,"1,100.00"
AOA PAC,13,"1,040.00"
AEMPAC,2,"1,021.00"
CMS Energy Corp. Employees for Better Government PAC,2,"1,000.00"
Elanco PAC,2,"1,000.00"
Genesee & Wyoming Inc. - Treasurer,2,"1,000.00"
Genesee & Wyoming Inc. PAC - Treasurer,2,"1,000.00"
Collins for Senator,2,"1,000.00"
Cathy For Congress,2,"1,000.00"
Cory Gardner for Senate,1,"1,000.00"
"Texans for Senator John Cornyn, Inc.",1,"1,000.00"
FUR INFORMATION COUNCIL OF AMERICA FUR WRAPS THE HILL POLITI,1,"1,000.00"
MWE,1,"1,000.00"
Friends of Michael Guest,1,"1,000.00"
Cornyn Majority Texas,1,"1,000.00"
Impel PAC,1,"1,000.00"
SARA HART WEIR FOR CONGRESS ,1,"1,000.00"
Alliance for Retired Americans Political Action Fund,1,"1,000.00"
FEMINIST MAJORITY PAC,1,"1,000.00"
Stinson PAC,1,"1,000.00"
OCC PAC,1,"1,000.00"
Akebia Therapeutics Inc. Political Action Committee,1,"1,000.00"
Chamber of Digital Commerce Political Action Committee,1,"1,000.00"
Cathy McMorris Rodgers for Congress,1,"1,000.00"
Medical Professional Liability PAC (MPL PAC),1,"1,000.00"
GS Equities,1,"1,000.00"
Marla Livengood for Congress,1,"1,000.00"
Terri for Congress,1,"1,000.00"
Kennedy for Massachusetts,1,"1,000.00"
Friends of Maria Cantwell,1,"1,000.00"
Jim Himes for Congress,1,"1,000.00"
ExelonPAC,1,"1,000.00"
HSCA PAC,1,"1,000.00"
National Republican Senate Committee,1,"1,000.00"
Biden for President,1,"1,000.00"
Rio Tinto America Inc PAC C00243675,1,"1,000.00"
Wireless Infrastructure Association PAC,1,"1,000.00"
"Vizient INC., PAC ",1,"1,000.00"
AZOA Service Corporation (Allianz of America PAC),1,"1,000.00"
Reclaim America PAC,1,"1,000.00"
Giffords PAC,1,"1,000.00"
Tillis,1,"1,000.00"
"Friends of Jeff Sessions Committee, Inc.",1,"1,000.00"
Friends of Pat Toomey,1,"1,000.00"
"Hooper, Lundy, & Bookman P.C. Political Action Committee ",1,"1,000.00"
NCTAPAC,1,"1,000.00"
"Idemia Identity & Security, LLC Political Action Committee",1,"1,000.00"
Metabank FSB Political Action Committee,1,"1,000.00"
American Cleaning Institute Political Action Committee,1,"1,000.00"
Atlas Air Worldwide PAC,1,"1,000.00"
"Moneygram International, Inc. PAC",1,"1,000.00"
Congressional Black Caucus PAC,3,950.00
Lauren Underwood for Congress,3,900.00
Engel for Congress,3,900.00
AFGE-PAC,2,884.00
RAILPAC,2,854.82
Donald Trump for President,7,850.00
Bart Gordon Committee,2,850.00
Team Huizenga ,1,800.00
Nancy Pelosi for Congress,2,750.00
Palazzo for Congress,2,750.00
MAKKI FOR CONGRESS,2,750.00
John Hancock Life Insurance Company (USA) PAC,2,750.00
Equifax Inc. Political Action Committee,2,750.00
Leahy for U.S. Senate,1,750.00
4MA PAC,3,700.00
TDS Telecommunications Corporation PAC,2,700.00
Washington Gas PAC,1,644.27
Border Health PAC ,6,614.80
AIC PAC - Treasurer,6,600.00
NEA Fund for Children & Public Education,1,600.00
Navistar Good Government Committee,2,578.00
American Veterinary Medical Association Political Action Com,7,517.48
KOREAN AMERICANS FOR ORGANIZING PAC,3,500.00
DCCC,2,500.00
AmeriChem PAC,2,500.00
MBA Federal PAC,2,500.00
DNC,2,500.00
"Teladoc Health, Inc. Political Action Committee",1,500.00
The Carlyle Group Inc. PAC (AKA 'Carlyle PAC') - Treasurer,1,500.00
Aeronautical Repair Station Association PAC,1,500.00
Paul Tonko for Congress,1,500.00
Tim Walberg for Congress,1,500.00
"CIM (Delaware), Inc PAC (AKA ''Carlyle PAC'') - Treasurer",1,500.00
Automotive Recyclers Association PAC,1,500.00
Stacey Plaskett for Congress,1,500.00
REITPAC,1,500.00
"VNA Holding, Inc. Political Action Committee",1,500.00
Debbie Wasserman Schultz for Congress,1,500.00
Pallone for Congress,1,500.00
Delta Dental Plans Association PAC,1,500.00
MetLife Inc. Employees' Pol. Participation Fund A,1,500.00
Pac to the Future,1,500.00
General Atomics PAC,1,500.00
The Investment Company Institute PAC,1,500.00
Yvette Herrell for Congress,1,500.00
Mid-Continent Political Action Committee,1,500.00
National Community Pharmacists Association PAC,1,500.00
Becchi for Congress,1,500.00
CBA PAC,1,500.00
Council of Insurance Agents & Brokers PAC,1,500.00
Horizon Healthcare Services Inc Horizon BCBSNJ Federal PAC,1,500.00
Clifford for Congress,1,500.00
Friends of Tina Ramirez,1,500.00
WILLIS NORTH AMERICA INC. POLITICAL ACTION COMMITTEE,1,500.00
Investment Company Institute PAC,1,500.00
American Association of Airport Executives (C000176727),1,500.00
Georgians for Kelly Loeffler,1,500.00
All Your Friends and Neighbors Who Support John Blair,1,500.00
New Democrat Coalition Action Fund ,1,500.00
Elanco US Inc. Political Action Committee (Elanco PAC),1,500.00
Sessions for Senate,1,500.00
Encana Oil & Gas (USA) Inc PAC,1,500.00
2020 Climate Unity Fund,3,475.00
Jeffries for Congress,3,450.00
Jennifer Wexton for Congress,8,355.00
Congressional Progressive Caucus,4,355.00
Jason Smith for Congress,2,350.00
AHA,2,300.00
Friends of Amanda Adkins,1,300.00
Maverick PAC ,1,300.00
"Republican Party of Virginia, Inc.",1,265.00
Jordan Grossman for DC Council Ward 2,29,251.00
Casten For Congress,2,250.00
"BECTON, DICKINSON AND COMPANY PAC ",1,250.00
Friends of Jim Clyburn,1,250.00
Alliance of Automobile Manufacturers PAC,1,250.00
NTCA Rural Broadband PAC,1,250.00
Service First Women's Victory Fund!,1,250.00
 DCCC WomenLEAD,1,250.00
Rhonda Foxx for Congress,1,250.00
CBAI PAC,1,250.00
Issa for Congress,1,250.00
self,1,250.00
ACI-NA,1,250.00
Act Blue,1,250.00
William Timmons for Congress,1,250.00
Protect the Majority Chiefs Victory Fund,1,250.00
Blank Rome LLP PAC,1,250.00
BusPAC,12,240.00
Action Committee for Rural Electrification,1,214.00
EEPAC,2,200.00
National Republican Congressional Committee ,2,200.00
Mark DeSaulnier for Congress,2,200.00
Steil for Wisconsin,1,200.00
Democratic National Committee,1,200.00
EEI Power PAC,1,200.00
Jeff Waldstreicher PAC,1,200.00
American Beverage PAC,1,200.00
Illinois Corn Growers Association PAC ,1,150.00
California Medical Association PAC,1,150.00
PowerPAC,1,150.00
American College of Clinical Pharmacy (ACCP) PAC,2,125.00
ActBlue,2,122.22
NAIFAPAC,12,120.00
Fair Fight,1,100.00
Feenstra for Congress,1,100.00
MICHIGAN CREDIT UNION LEAGUE LEGISLATIVE ACTION FUND,1,100.00
Pete for America,1,100.00
RONPAC,1,100.00
ASAE PAC,1,100.00
john blair ,1,100.00
ARPAC,1,100.00
Jay Inslee for President,5,75.00
Joe Biden,1,64.00
ACCP-PAC,2,50.00
AMGA Voice: Advancing America's Medical Groups,1,50.00
"Fair Fight, Inc. - Federal",1,50.00
Buckeye PAC,1,50.00
Democratic Party of Virginia,1,40.00
AFGE,6,30.00
CHICANO LATINO CAUCUS,1,30.00
Kamala Harris for President,1,25.00
Cory 2020,2,15.11
Swiss Re America Holding Corporation Political Action Committee,24,"-12,500.00"
